"V1","V2"
"1","SARS-CoV2-E","O00203"
"2","SARS-CoV2-E","O60885"
"3","SARS-CoV2-E","P25440"
"4","SARS-CoV2-E","Q6UX04"
"5","SARS-CoV2-E","Q86VM9"
"6","SARS-CoV2-E","Q8IWA5"
"7","SARS-CoV2-M","O75439"
"8","SARS-CoV2-M","O95070"
"9","SARS-CoV2-M","P05026"
"10","SARS-CoV2-M","P11310"
"11","SARS-CoV2-M","P13804"
"12","SARS-CoV2-M","P27105"
"13","SARS-CoV2-M","P38435"
"14","SARS-CoV2-M","P38606"
"15","SARS-CoV2-M","P48556"
"16","SARS-CoV2-M","Q00765"
"17","SARS-CoV2-M","Q10713"
"18","SARS-CoV2-M","Q4KMQ2"
"19","SARS-CoV2-M","Q5JRX3"
"20","SARS-CoV2-M","Q6PML9"
"21","SARS-CoV2-M","Q7L8L6"
"22","SARS-CoV2-M","Q8NEW0"
"23","SARS-CoV2-M","Q96CW5"
"24","SARS-CoV2-M","Q96D53"
"25","SARS-CoV2-M","Q96ER3"
"26","SARS-CoV2-M","Q96HR9"
"27","SARS-CoV2-M","Q96HW7"
"28","SARS-CoV2-M","Q9BQT8"
"29","SARS-CoV2-M","Q9BSJ2"
"30","SARS-CoV2-M","Q9BW92"
"31","SARS-CoV2-M","Q9NQC3"
"32","SARS-CoV2-M","Q9UBU6"
"33","SARS-CoV2-M","Q9UDR5"
"34","SARS-CoV2-M","Q9ULX6"
"35","SARS-CoV2-M","Q9Y312"
"36","SARS-CoV2-M","Q9Y6E2"
"37","SARS-CoV2-N","O43818"
"38","SARS-CoV2-N","P11940"
"39","SARS-CoV2-N","P19784"
"40","SARS-CoV2-N","P67870"
"41","SARS-CoV2-N","Q13283"
"42","SARS-CoV2-N","Q13310"
"43","SARS-CoV2-N","Q6PKG0"
"44","SARS-CoV2-N","Q8NCA5"
"45","SARS-CoV2-N","Q8TAD8"
"46","SARS-CoV2-N","Q92900"
"47","SARS-CoV2-N","Q9HCE1"
"48","SARS-CoV2-N","Q9NR30"
"49","SARS-CoV2-N","Q9NW13"
"50","SARS-CoV2-N","Q9UN86"
"51","SARS-CoV2-N","Q9Y3U8"
