protein1	protein2	organism1	organism2	org1.taxid	org2.taxid
QHO60603	A3KN83	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	A7MCY6	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O00116	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60596	O00203	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60599	O00469	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O00566	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O14578	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60599	O14656	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O14874	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O14975	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O43169	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60601	O43818	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O43823	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O60573	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60596	O60885	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O75347	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60597	O75439	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O75506	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O75592	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O75964	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60599	O76061	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O76094	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O94973	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60597	O95070	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O95260	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O95391	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O95573	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O95613	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O95684	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	O96028	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	P00387	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60599	P00750	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60597	P05026	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60599	P05556	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	P06280	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
QHO60603	P07203	Severe acute respiratory syndrome coronavirus 2	Homo sapiens	2697049	9606
