protein1	protein2	organism1	organism2	org1.taxid	org2.taxid
A0A024A4F8	P88909	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88915	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88924	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88927	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88935	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88938	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88940	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88941	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88953	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88954	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88955	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88962	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P88964	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	P90475	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q76SB3	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q76SB4	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q98133	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q98141	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024A4F8	Q98667	Human gammaherpesvirus 8	Human herpesvirus 8 type M	37296	435895
A0A024B7W1	A2RRP1	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	A6NIH7	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	A7E2V4	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O00186	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O00193	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O00267	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O00422	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O14662	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O15239	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O15270	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O15400	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43181	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43676	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43678	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43719	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43752	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43865	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O43920	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60313	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60508	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60524	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60664	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60704	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60828	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O60858	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O75063	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O75691	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O94874	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95139	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95167	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95169	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95178	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95182	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95197	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95218	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95232	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95298	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95365	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95625	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O95772	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O96008	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O96011	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	O96028	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P07099	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P08240	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P11233	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P14927	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P17152	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P17568	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P17858	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P19404	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P20719	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P21912	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P26572	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P27105	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P28331	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P30414	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
A0A024B7W1	P31040	Zika virus ZIKV/H. sapiens/FrenchPolynesia/10087PF/2013	Homo sapiens	2043570	9606
