KP x WF.1	0.0404337
WL x YI.1	0.0378137
TA x W.1	0.0378024
VS166 x RF.1	0.0374319
LL x W.1	0.0370777
IH x RF.1	0.0369104
VS725 x VS416.1	0.0368705
DR.1 x AV.1	0.0368271
VS437 x RF.1	0.0360655
VS376 x VS355.1	0.0359658
NR x C.1	0.035952
FV x VS441.1	0.0357075
FE x GD.1	0.0356759
RG.1 x NS.1	0.0355212
NR x VS162.1	0.0347565
IN x YR.1	0.0345787
VR x RF.1	0.0345635
EW x WF.1	0.034556
HI.1 x PL.1	0.034548
DT x GD.1	0.0344422
VS516 x GD.1	0.034129
VS437 x VS144.1	0.0341166
VS673 x RF.1	0.0340066
VS315 x VS162.1	0.0338617
QY x RF.1	0.033839
KL x YR.1	0.0338198
VS716 x RF.1	0.0338087
VS247 x RF.1	0.0336199
VE x VS112.1	0.0335411
QF.1 x VS244.1	0.0334685
WL x AF.1	0.0334171
VS522 x VS144.1	0.0333821
QT x QQ.1	0.0333143
NC x RF.1	0.0331471
VS423 x RF.1	0.0330884
VS661 x RF.1	0.0330759
EA x RF.1	0.0330373
VS446 x VS114.1	0.0329622
VS633 x GD.1	0.0329323
VA.1 x VS656.1	0.0329278
VS525 x VS416.1	0.0326761
N x L.1	0.0326504
VS777 x WF.1	0.0325882
VS373 x RF.1	0.0324926
ND x VS355.1	0.0324414
VA.1 x VS724.1	0.0324322
WL x WF.1	0.0323881
VQ x C.1	0.0323759
S.1 x VS314.1	0.0323517
DE.1 x PH.1	0.0323308
VS126 x RF.1	0.032326
QS x YF.1	0.0322995
GS x RF.1	0.0321913
VA.1 x VS364.1	0.0320649
N x WF.1	0.0320562
GA x AD.1	0.0320529
HK x VS416.1	0.0320331
EA x YR.1	0.0319871
QH x YF.1	0.0319661
VS157 x RF.1	0.0317982
YC.1 x VS532.1	0.0317643
VS452 x VS416.1	0.0317447
VS543 x QE.1	0.0317256
MQ x YR.1	0.0316395
MY x W.1	0.0314894
VS265 x YR.1	0.0313064
DN x YR.1	0.0313052
VS115 x RF.1	0.0312732
S x WF.1	0.0311661
VS336 x VS441.1	0.0311009
VG x VS424.1	0.0310409
SM x YR.1	0.0310197
FA.1 x VS465.1	0.0308368
VS511 x RF.1	0.0308089
CY x WF.1	0.0307962
AK x YR.1	0.0307955
VS447 x WF.1	0.0305262
VS346 x VS144.1	0.0303693
VS467 x RF.1	0.0302531
VS722 x RF.1	0.0301208
VS136 x VS416.1	0.0300625
CK x VS416.1	0.0300114
VS746 x RF.1	0.0299556
EY x RF.1	0.029869
VS732 x RF.1	0.0298604
VS615 x RF.1	0.0298323
GI x RF.1	0.0294909
VS244 x YR.1	0.0294308
VS627 x RF.1	0.0293521
HD x RF.1	0.0291551
L.1 x VS161.1	0.0289647
DI x RF.1	0.0288513
EA x C.1	0.028803
VS265 x VS355.1	0.028476
HF x RF.1	0.028424
AP x RF.1	0.0283871
VS346 x RF.1	0.0283688
DV x NR.1	0.0271427
IN x RF.1	0.0269172
VS474 x RF.1	0.0266439
S.1	0.0107921
C.1	0.00827166
MA.1	0.00790299
VS311.1	0.0077657
SP.1	0.00722101
EI.1	0.00712874
K.1	0.00708175
PE.1	0.00694535
GK.1	0.00685921
RF.1	0.00675581
P.1	0.00673343
VS521.1	0.00667693
CS.1	0.00660672
AK.1	0.00656156
VS631.1	0.00649932
GA.1	0.00648403
VS152.1	0.00639194
VS561.1	0.00637443
VS115.1	0.00635888
VS252.1	0.00626465
SS.1	0.00617046
GQ.1	0.00608167
ST.1	0.006051
PW.1	0.00602767
DD.1	0.0060131
VD.1	0.00600844
VS153.1	0.00596941
KT.1	0.0059671
EF.1	0.00596443
VS215.1	0.00592618
D.1	0.00588442
F.1	0.00585474
SC.1	0.00580924
AD.1	0.00571558
CK.1	0.00567698
LQ	0.00564258
HA	0.00562772
VS222.1	0.00562173
VS111.1	0.00561081
CQ.1	0.00557123
LR.1	0.00551882
N.1	0.00550308
CR.1	0.0054868
VG.1	0.00546986
GA	0.00545647
KD.1	0.00545102
VS562.1	0.00543507
PK.1	0.00543336
VS456.1	0.0054023
YV.1	0.00536659
VT.1	0.00533318
VS315.1	0.00532836
YY.1	0.00531719
CN.1	0.00531276
A.1	0.00530739
TC.1	0.00529603
AA.1	0.00528922
LI	0.00526229
PC.1	0.00525908
ID.1	0.00524365
NA..1	0.00520763
RN.1	0.00517631
VS412.1	0.00513959
VS116	0.00510595
LP.1	0.00510379
VS327	0.00508274
EG	0.00507363
AR	0.00506991
RD.1	0.00505521
AA	0.00504056
PL.1	0.00503702
G	0.00503009
KL.1	0.00502237
QQ.1	0.00496785
EV.1	0.0049645
QN.1	0.00495811
VS254	0.00491778
VS124.1	0.0048946
RE.1	0.00489078
GT.1	0.00488863
DE.1	0.00488358
LK.1	0.00487008
VS625.1	0.00486131
LA.1	0.00485677
M.1	0.00485556
RQ.1	0.00482427
VQ.1	0.00481881
KC.1	0.00481525
NH	0.00481145
VA	0.00480759
EA.1	0.00480264
RS.1	0.00475656
VS614	0.00475538
KE.1	0.00474149
LL	0.00473433
DV.1	0.00473216
AR.1	0.00472211
VS241.1	0.00472185
FV.1	0.00468799
FS.1	0.00468647
FE.1	0.00468327
VK.1	0.00468276
VE.1	0.00468183
E	0.00468117
GH	0.00468077
HL.1	0.00467422
DL.1	0.00466324
QF.1	0.00463388
DM.1	0.00461093
VS124	0.00461053
NS.1	0.00459981
VS113.1	0.00458902
VS112.1	0.00458881
IL.1	0.00458835
T.1	0.00457984
LL.1	0.00457003
VS322.1	0.00456406
QS.1	0.00456164
VS312	0.00455985
IN	0.0045559
FW	0.00454758
VS217	0.0045445
I.1	0.00453363
FD.1	0.0045265
YD	0.00452624
VS154.1	0.004522
VS162.1	0.00452181
CF	0.00451988
LG	0.00450942
LS.1	0.0045076
VS314.1	0.00448799
YE.1	0.00447903
VS662.1	0.00447651
GP.1	0.00447017
FS	0.00446791
FG.1	0.00445554
QC.1	0.00445076
ER.1	0.00444729
VS425.1	0.00444289
VS526.1	0.00443886
YC	0.00443407
VS211.1	0.00442362
GR.1	0.00442316
LE	0.00442068
VS251.1	0.00441378
EQ.1	0.00441354
SF.1	0.00440608
W.1	0.00439572
EA	0.00439356
SL.1	0.00439082
PI.1	0.00438661
VS114.1	0.00437363
VS326	0.00437109
GH.1	0.00434225
VS374	0.00433571
VS416.1	0.00432711
VS232.1	0.00432299
GV	0.00430539
VS311	0.00430285
DI.1	0.00429426
T	0.00429269
VS651.1	0.00429127
PA.1	0.00427162
IM	0.00426107
EP.1	0.00425995
V	0.00425892
FP.1	0.00425788
YG.1	0.00425492
VS332.1	0.00424722
A	0.00424274
VS.1	0.00423855
Y.1	0.0042382
VS214.1	0.00423636
SN.1	0.00422831
Q	0.00419818
R.1	0.00419692
VS256.1	0.00419093
VS161.1	0.00418772
HE.1	0.00418628
EN.1	0.00418609
VS373.1	0.00417527
VS671	0.00415844
LT.1	0.00415674
VS636	0.00415373
VS465.1	0.00415285
PT	0.00414949
F	0.00414413
LN.1	0.00414257
EL.1	0.00413197
GG.1	0.00412515
VS111	0.0041213
AC.1	0.00412052
VS544.1	0.00411939
DM	0.00411715
I	0.00411559
VS511.1	0.00411121
VS753.1	0.00410221
V.1	0.0040944
VC.1	0.00408782
N	0.00408219
QY.1	0.00407942
VS213	0.00407652
GF	0.00407571
CM	0.00407242
G.1	0.00406682
VS122.1	0.00406549
MP	0.00406251
KR.1	0.00405317
YR.1	0.00405271
HR.1	0.00405146
VV	0.00404906
FT.1	0.00404877
L	0.0040354
VS337.1	0.00403487
EG.1	0.00403012
P	0.00402839
VS732.1	0.0040258
IR.1	0.00401298
MR	0.00400992
NE.1	0.00400948
PP.1	0.00400538
LC	0.00400509
VS521	0.00399295
NG	0.0039927
VS131.1	0.00399181
CP.1	0.00398937
EM.1	0.00398336
K	0.00397675
EN	0.00397284
KA.1	0.00396601
AF.1	0.00396357
VS475.1	0.00395972
PL	0.00395818
DC	0.00395764
TP.1	0.00395346
VS327.1	0.00394345
AG.1	0.00393614
FL	0.0039322
VS522.1	0.00393211
VS233	0.00392872
PN.1	0.00392222
KT	0.00391546
TL	0.0039132
E.1	0.00391181
PS.1	0.00391076
VS655.1	0.00390437
MI	0.00389445
VS363	0.00389313
FC.1	0.00389295
QH.1	0.00389122
VS515.1	0.00389121
GD.1	0.0038899
CE.1	0.0038852
TY	0.00388049
KL	0.00387046
VS523.1	0.00386846
VS652.1	0.00386476
YM	0.00385949
VS322	0.00385427
SR.1	0.00385006
IE.1	0.00384785
VS275.1	0.00384543
VS261	0.00384247
KN.1	0.00384109
VS563.1	0.00383651
VI	0.00382918
FQ	0.00382341
VS324.1	0.003813
WF	0.00380725
VS164.1	0.00379757
VS231	0.00378791
VH	0.00378648
MP.1	0.00378596
VS154	0.00377589
TW.1	0.00377585
W	0.0037738
VS227.1	0.00376656
VS542.1	0.00376601
VS146.1	0.00376503
NR	0.00375616
IK	0.0037559
VS543	0.00374253
ML	0.00374148
PR	0.00374125
VS552.1	0.00374059
KQ.1	0.00373759
YN.1	0.00373002
VS632.1	0.00372925
